"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Remote Desktop Services: User authentication succeeded:

User: admin01
Domain: example
Source Network Address: 127.0.0.1","1149","0",,"4","0","0","1152921504606846976","228","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","2748","PC01.example.corp","S-1-5-20","2/13/2019 10:04:57 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Listener RDP-Tcp received a connection","261","0",,"4","0","0","1152921504606846976","227","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1876","PC01.example.corp","S-1-5-20","2/13/2019 10:04:45 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Listener RDP-Tcp received a connection","261","0",,"4","0","0","1152921504606846976","226","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1876","PC01.example.corp","S-1-5-20","2/13/2019 10:04:01 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Remote Desktop Services: User authentication succeeded:

User: admin01
Domain: example
Source Network Address: fe80::80ac:4126:fa58:1b81%10","1149","0",,"4","0","0","1152921504606846976","225","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","2332","PC01.example.corp","S-1-5-20","2/13/2019 9:51:19 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Listener RDP-Tcp received a connection","261","0",,"4","0","0","1152921504606846976","224","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1876","PC01.example.corp","S-1-5-20","2/13/2019 9:50:55 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Listener RDP-Tcp received a connection","261","0",,"4","0","0","1152921504606846976","223","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1876","PC01.example.corp","S-1-5-20","2/13/2019 9:50:15 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"RD Session Host Server role is not installed.","1136","0",,"4","0","0","1152921504606846976","222","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1008","2440","PC01.example.corp","S-1-5-18","2/13/2019 9:18:41 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Listener RDP-Tcp has started listening","258","0",,"4","0","0","1152921504606846976","221","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1548","PC01.example.corp","S-1-5-20","2/13/2019 9:18:30 AM","00000000-0244-0000-c48e-2e890bc4d401",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Remote Connection Manager selected Kernel mode RDP protocol stack.","1155","0",,"4","0","0","1152921504606846976","220","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1280","1548","PC01.example.corp","S-1-5-20","2/13/2019 9:18:28 AM","8f0c0c22-a5aa-4f83-b10f-0880ab96471f",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"RD Session Host Server role is not installed.","1136","0",,"4","0","0","1152921504606846976","219","Microsoft-Windows-TerminalServices-RemoteConnectionManager","c76baa63-ae81-421c-b425-340b4b24157f","Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational","1028","2116","PC01.example.corp","S-1-5-18","2/13/2019 7:15:16 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
