"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"BITS stopped transferring the C:\Users\IEUser\AppData\Local\Temp\{F1502BD5-ADFF-4123-9C07-0E4B02FCB037}-89.0.4389.82_87.0.4280.66_chrome_updater.exe transfer job that is associated with the http://r1---sn-5hne6nlr.gvt1.com/edgedl/release2/chrome/AKGnpidu3x0C0gtuxw-XHRQ_89.0.4389.82/89.0.4389.82_87.0.4280.66_chrome_updater.exe?cms_redirect=yes&mh=rx&mip=213.127.64.248&mm=28&mn=sn-5hne6nlr&ms=nvh&mt=1615834584&mv=m&mvi=1&pl=17&shardbypass=yes URL. The status code is 0x80072EFE.","61","1",,"3","0","2","4611686018427387904","9409","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","3656","MSEDGEWIN10","S-1-5-18","3/15/2021 12:29:05 PM","606aa2f9-84ac-48b8-b85c-1712683c075c",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"BITS started the C:\Users\IEUser\AppData\Local\Temp\{F1502BD5-ADFF-4123-9C07-0E4B02FCB037}-89.0.4389.82_87.0.4280.66_chrome_updater.exe transfer job that is associated with the http://r1---sn-5hne6nlr.gvt1.com/edgedl/release2/chrome/AKGnpidu3x0C0gtuxw-XHRQ_89.0.4389.82/89.0.4389.82_87.0.4280.66_chrome_updater.exe?cms_redirect=yes&mh=rx&mip=213.127.64.248&mm=28&mn=sn-5hne6nlr&ms=nvh&mt=1615834584&mv=m&mvi=1&pl=17&shardbypass=yes URL.","59","1",,"4","0","1","4611686018427387904","9408","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","4396","MSEDGEWIN10","S-1-5-18","3/15/2021 12:01:32 PM","606aa2f9-84ac-48b8-b85c-1712683c075c",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job.
Transfer job: C:\Users\IEUser\AppData\Local\Temp\{F1502BD5-ADFF-4123-9C07-0E4B02FCB037}-89.0.4389.82_87.0.4280.66_chrome_updater.exe
Job ID: {78e48d71-6706-4bef-be13-dd6596aecb77}
Owner: MSEDGEWIN10\IEUser
Process Path: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
Process ID: 2136","3","2",,"4","0","0","4611686018427387904","9407","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","1356","MSEDGEWIN10","S-1-5-18","3/15/2021 12:01:32 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The transfer job is complete.
User: MSEDGEWIN10\IEUser
Transfer job: C:\Users\IEUser\AppData\Local\Temp\{259DDBBE-DDD3-4590-8A2C-60211631093C}-GoogleUpdateSetup.exe
Job ID: {3774c88f-94ad-4fc0-a559-ea76b5d829d6}
Owner: MSEDGEWIN10\IEUser
File count: 1","4","1",,"4","0","0","4611686018427387904","9406","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","8184","MSEDGEWIN10","S-1-5-18","3/15/2021 11:55:51 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"BITS stopped transferring the C:\Users\IEUser\AppData\Local\Temp\{259DDBBE-DDD3-4590-8A2C-60211631093C}-GoogleUpdateSetup.exe transfer job that is associated with the http://r5---sn-5hnedn7l.gvt1.com/edgedl/release2/update2/ALmnr7lDhOvozdF08iOk7Ks_1.3.36.72/GoogleUpdateSetup.exe?cms_redirect=yes&mh=pH&mip=213.127.64.248&mm=28&mn=sn-5hnedn7l&ms=nvh&mt=1615834104&mv=m&mvi=5&pl=17&shardbypass=yes URL. The status code is 0x0.","60","1",,"4","0","2","4611686018427387904","9405","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","5972","MSEDGEWIN10","S-1-5-18","3/15/2021 11:55:51 AM","6125dc77-c387-4662-bb2f-f3816d1b4629",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"BITS started the C:\Users\IEUser\AppData\Local\Temp\{259DDBBE-DDD3-4590-8A2C-60211631093C}-GoogleUpdateSetup.exe transfer job that is associated with the http://r5---sn-5hnedn7l.gvt1.com/edgedl/release2/update2/ALmnr7lDhOvozdF08iOk7Ks_1.3.36.72/GoogleUpdateSetup.exe?cms_redirect=yes&mh=pH&mip=213.127.64.248&mm=28&mn=sn-5hnedn7l&ms=nvh&mt=1615834104&mv=m&mvi=5&pl=17&shardbypass=yes URL.","59","1",,"4","0","1","4611686018427387904","9404","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","4424","MSEDGEWIN10","S-1-5-18","3/15/2021 11:55:38 AM","6125dc77-c387-4662-bb2f-f3816d1b4629",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The BITS service created a new job.
Transfer job: C:\Users\IEUser\AppData\Local\Temp\{259DDBBE-DDD3-4590-8A2C-60211631093C}-GoogleUpdateSetup.exe
Job ID: {3774c88f-94ad-4fc0-a559-ea76b5d829d6}
Owner: MSEDGEWIN10\IEUser
Process Path: C:\Program Files (x86)\Google\Update\GoogleUpdate.exe
Process ID: 876","3","2",,"4","0","0","4611686018427387904","9403","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","8184","MSEDGEWIN10","S-1-5-18","3/15/2021 11:55:37 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The transfer job is complete.
User: MSEDGEWIN10\IEUser
Transfer job: efc1a28b.png
Job ID: {2655ebaf-2c16-4e2d-90e3-99c5249cc4f3}
Owner: MSEDGEWIN10\IEUser
File count: 1","4","1",,"4","0","0","4611686018427387904","9402","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","8184","MSEDGEWIN10","S-1-5-18","3/15/2021 11:54:51 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"BITS stopped transferring the efc1a28b.png transfer job that is associated with the https://i.imgur.com/IFpvPlt.png URL. The status code is 0x0.","60","1",,"4","0","2","4611686018427387904","9401","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","8184","MSEDGEWIN10","S-1-5-18","3/15/2021 11:54:50 AM","914d3c21-a45e-43d5-bcff-9e53b581ce2d",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Stop",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"BITS started the efc1a28b.png transfer job that is associated with the https://i.imgur.com/IFpvPlt.png URL.","59","1",,"4","0","1","4611686018427387904","9400","Microsoft-Windows-Bits-Client","ef1cc15b-46c1-414e-bb95-e76b077bd51e","Microsoft-Windows-Bits-Client/Operational","8100","5432","MSEDGEWIN10","S-1-5-18","3/15/2021 11:54:15 AM","914d3c21-a45e-43d5-bcff-9e53b581ce2d",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
