"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"A computer account was changed.

Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x3D8E8DB

Computer Account That Was Changed:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1120
	Account Name:		ALICE$
	Account Domain:		insecurebank

Changed Attributes:
	SAM Account Name:	-
	Display Name:		-
	User Principal Name:	-
	Home Directory:		-
	Home Drive:		-
	Script Path:		-
	Profile Path:		-
	User Workstations:	-
	Password Last Set:	-
	Account Expires:		-
	Primary Group ID:	-
	AllowedToDelegateTo:	-
	Old UAC Value:		-
	New UAC Value:		-
	User Account Control:	-
	User Parameters:	-
	SID History:		-
	Logon Hours:		-
	DNS Host Name:		-
	Service Principal Names:	-

Additional Information:
	Privileges:		-","4742","0",,"0","13825","0","-9214364837600034816","198239294","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3948","DC1.insecurebank.local",,"3/25/2019 6:01:41 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Computer Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A user account was changed.

Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x3D8E8DB

Target Account:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1107
	Account Name:		alice
	Account Domain:		insecurebank

Changed Attributes:
	SAM Account Name:	-
	Display Name:		-
	User Principal Name:	-
	Home Directory:		-
	Home Drive:		-
	Script Path:		-
	Profile Path:		-
	User Workstations:	-
	Password Last Set:	-
	Account Expires:		-
	Primary Group ID:	-
	AllowedToDelegateTo:	-
	Old UAC Value:		-
	New UAC Value:		-
	User Account Control:	-
	User Parameters:	-
	SID History:		-
	Logon Hours:		-

Additional Information:
	Privileges:		-","4738","0",,"0","13824","0","-9214364837600034816","198239293","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3948","DC1.insecurebank.local",,"3/25/2019 6:01:41 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A scheduled task was updated.

Subject:
	Security ID:		S-1-5-20
	Account Name:		DC1$
	Account Domain:		insecurebank
	Logon ID:		0x3E4

Task Information:
	Task Name: 		\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
	Task New Content: 		<?xml version=""1.0"" encoding=""UTF-16""?>
<Task version=""1.4"" xmlns=""http://schemas.microsoft.com/windows/2004/02/mit/task"">
  <RegistrationInfo>
    <Source>$(@%systemroot%\system32\sppc.dll,-200)</Source>
    <Author>$(@%systemroot%\system32\sppc.dll,-200)</Author>
    <Version>1.0</Version>
    <Description>$(@%systemroot%\system32\sppc.dll,-201)</Description>
    <URI>\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask</URI>
    <SecurityDescriptor>D:P(A;;FA;;;SY)(A;;FA;;;BA)(A;;FA;;;S-1-5-80-123231216-2592883651-3715271367-3753151631-4175906628)(A;;FR;;;S-1-5-87-2912274048-3994893941-1669128114-1310430903-1263774323)</SecurityDescriptor>
  </RegistrationInfo>
  <Triggers>
    <CalendarTrigger>
      <StartBoundary>2019-03-26T12:51:45Z</StartBoundary>
      <Enabled>true</Enabled>
      <ScheduleByDay>
        <DaysInterval>1</DaysInterval>
      </ScheduleByDay>
    </CalendarTrigger>
  </Triggers>
  <Principals>
    <Principal id=""NetworkService"">
      <UserId>S-1-5-20</UserId>
      <RunLevel>LeastPrivilege</RunLevel>
    </Principal>
  </Principals>
  <Settings>
    <MultipleInstancesPolicy>IgnoreNew</MultipleInstancesPolicy>
    <DisallowStartIfOnBatteries>false</DisallowStartIfOnBatteries>
    <StopIfGoingOnBatteries>false</StopIfGoingOnBatteries>
    <AllowHardTerminate>false</AllowHardTerminate>
    <StartWhenAvailable>true</StartWhenAvailable>
    <RunOnlyIfNetworkAvailable>false</RunOnlyIfNetworkAvailable>
    <IdleSettings>
      <StopOnIdleEnd>true</StopOnIdleEnd>
      <RestartOnIdle>false</RestartOnIdle>
    </IdleSettings>
    <AllowStartOnDemand>true</AllowStartOnDemand>
    <Enabled>true</Enabled>
    <Hidden>true</Hidden>
    <RunOnlyIfIdle>false</RunOnlyIfIdle>
    <DisallowStartOnRemoteAppSession>false</DisallowStartOnRemoteAppSession>
    <UseUnifiedSchedulingEngine>true</UseUnifiedSchedulingEngine>
    <WakeToRun>false</WakeToRun>
    <ExecutionTimeLimit>PT0S</ExecutionTimeLimit>
    <Priority>7</Priority>
    <RestartOnFailure>
      <Interval>PT1M</Interval>
      <Count>3</Count>
    </RestartOnFailure>
  </Settings>
  <Actions Context=""NetworkService"">
    <ComHandler>
      <ClassId>{B1AEBB5D-EAD9-4476-B375-9C3ED9F32AFC}</ClassId>
      <Data><![CDATA[timer]]></Data>
    </ComHandler>
  </Actions>
</Task>
	","4702","0",,"0","12804","0","-9214364837600034816","198239223","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:52:45 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Other Object Access Events","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A user account was changed.

Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x3D8E8DB

Target Account:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1107
	Account Name:		alice
	Account Domain:		insecurebank

Changed Attributes:
	SAM Account Name:	-
	Display Name:		-
	User Principal Name:	-
	Home Directory:		-
	Home Drive:		-
	Script Path:		-
	Profile Path:		-
	User Workstations:	-
	Password Last Set:	-
	Account Expires:		-
	Primary Group ID:	-
	AllowedToDelegateTo:	-
	Old UAC Value:		-
	New UAC Value:		-
	User Account Control:	-
	User Parameters:	-
	SID History:		-
	Logon Hours:		-

Additional Information:
	Privileges:		-","4738","0",,"0","13824","0","-9214364837600034816","198239171","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","1360","DC1.insecurebank.local",,"3/25/2019 5:48:09 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A user account was changed.

Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x3D8E8DB

Target Account:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1107
	Account Name:		alice
	Account Domain:		insecurebank

Changed Attributes:
	SAM Account Name:	-
	Display Name:		-
	User Principal Name:	-
	Home Directory:		-
	Home Drive:		-
	Script Path:		-
	Profile Path:		-
	User Workstations:	-
	Password Last Set:	-
	Account Expires:		-
	Primary Group ID:	-
	AllowedToDelegateTo:	-
	Old UAC Value:		-
	New UAC Value:		-
	User Account Control:	-
	User Parameters:	-
	SID History:		-
	Logon Hours:		-

Additional Information:
	Privileges:		-","4738","0",,"0","13824","0","-9214364837600034816","198239092","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3948","DC1.insecurebank.local",,"3/25/2019 5:37:49 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","User Account Management","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC1$
	Account Domain:		insecurebank
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		DS Access
	Subcategory:		Directory Service Changes
	Subcategory GUID:	{0cce923c-69ae-11d9-bed3-505054503030}
	Changes:		Failure added","4719","0",,"0","13568","0","-9214364837600034816","198239064","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:33:59 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Audit Policy Change","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"System audit policy was changed.

Subject:
	Security ID:		S-1-5-18
	Account Name:		DC1$
	Account Domain:		insecurebank
	Logon ID:		0x3E7

Audit Policy Change:
	Category:		DS Access
	Subcategory:		Directory Service Access
	Subcategory GUID:	{0cce923b-69ae-11d9-bed3-505054503030}
	Changes:		Failure added","4719","0",,"0","13568","0","-9214364837600034816","198239063","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:33:59 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Audit Policy Change","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A directory service object was modified.
	
Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x8D7099

Directory Service:
	Name:	insecurebank.local
	Type:	Active Directory Domain Services
	
Object:
	DN:	CN={6AC1786C-016F-11D2-945F-00C04FB984F9},CN=POLICIES,CN=SYSTEM,DC=INSECUREBANK,DC=LOCAL
	GUID:	{6cdecdb5-7515-4511-8141-c34a7c3d4a0a}
	Class:	groupPolicyContainer
	
Attribute:
	LDAP Display Name:	versionNumber
	Syntax (OID):	2.5.5.9
	Value:	9
	
Operation:
	Type:	Value Added
	Correlation ID:	{7a0ddd82-407e-41da-83b1-014a84297ab8}
	Application Correlation ID:	-","5136","0",,"0","14081","0","-9214364837600034816","198239047","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:33:44 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Directory Service Changes","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A directory service object was modified.
	
Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x8D7099

Directory Service:
	Name:	insecurebank.local
	Type:	Active Directory Domain Services
	
Object:
	DN:	CN={6AC1786C-016F-11D2-945F-00C04FB984F9},CN=POLICIES,CN=SYSTEM,DC=INSECUREBANK,DC=LOCAL
	GUID:	{6cdecdb5-7515-4511-8141-c34a7c3d4a0a}
	Class:	groupPolicyContainer
	
Attribute:
	LDAP Display Name:	versionNumber
	Syntax (OID):	2.5.5.9
	Value:	8
	
Operation:
	Type:	Value Deleted
	Correlation ID:	{7a0ddd82-407e-41da-83b1-014a84297ab8}
	Application Correlation ID:	-","5136","0",,"0","14081","0","-9214364837600034816","198239046","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:33:44 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Directory Service Changes","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A directory service object was modified.
	
Subject:
	Security ID:		S-1-5-21-738609754-2819869699-4189121830-1108
	Account Name:		bob
	Account Domain:		insecurebank
	Logon ID:		0x8D7099

Directory Service:
	Name:	insecurebank.local
	Type:	Active Directory Domain Services
	
Object:
	DN:	CN={6AC1786C-016F-11D2-945F-00C04FB984F9},CN=POLICIES,CN=SYSTEM,DC=INSECUREBANK,DC=LOCAL
	GUID:	{6cdecdb5-7515-4511-8141-c34a7c3d4a0a}
	Class:	groupPolicyContainer
	
Attribute:
	LDAP Display Name:	versionNumber
	Syntax (OID):	2.5.5.9
	Value:	8
	
Operation:
	Type:	Value Added
	Correlation ID:	{9ba86d72-7c57-4a9d-8239-e93d9ac25584}
	Application Correlation ID:	-","5136","0",,"0","14081","0","-9214364837600034816","198239045","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","444","3616","DC1.insecurebank.local",,"3/25/2019 5:33:44 AM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Directory Service Changes","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
