"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Server RPC call started. 	InterfaceUuid: 	{647d4452-9f33-4a18-b2be-c5c0e920e94e} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	{3C001E79-551F-4423-A041-8953CDC179F4} 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","11146","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"1084","1956","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","a7258a43-c3f5-471f-bc3c-7b197514244d",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","11082","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"576","1904","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","450f5e3d-fc73-4254-9166-16ba87fa53aa",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","11056","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"576","1904","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","58b1c719-d592-4705-8ab2-dbf7b07d5eb2",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x6 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","11033","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"576","1904","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","c2ddd809-5aad-40e8-9c3d-8adc8274084f",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0x10 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","11004","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"576","1904","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","215558c0-7a7a-4ad1-a34c-85e17e7db5e7",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{367abb81-9844-35f1-ad32-98f038001003} 	OpNum: 	0xF 	Protocol: 	LRPC 	Endpoint 	ntsvcs 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10974","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"576","1904","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","e002d24a-c283-4b80-9a06-cc24404aeac5",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x3 	Protocol: 	LRPC 	Endpoint 	eventlog 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10918","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"264","4708","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","bb5c1310-5bdc-4283-ba0b-708f6c2b6b08",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x2 	Protocol: 	LRPC 	Endpoint 	eventlog 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10892","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"264","4708","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","29473da4-ad44-44f7-8d50-9981bc249953",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x0 	Protocol: 	LRPC 	Endpoint 	eventlog 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10862","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"264","4708","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","d7eb98fb-6ce1-417c-8963-8939c84b741b",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{f6beaff7-1e19-4fbb-9f8f-b89e2018337c} 	OpNum: 	0x14 	Protocol: 	LRPC 	Endpoint 	eventlog 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10841","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"264","4708","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","fd2c37b5-62f7-48ef-950b-25f3c4687bf3",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Server RPC call started. 	InterfaceUuid: 	{fb8a0729-2d04-4658-be93-27b4ad553fac} 	OpNum: 	0x1 	Protocol: 	LRPC 	Endpoint 	lsapolicylookup 	Authentication Level 	7 	Authentication Service 	8","6","1",,"4","2","1","4611686018427387904","10778","Microsoft-Windows-RPC","6ad52b32-d609-4be9-ae07-ce8dae937e39",,"584","752","LAPTOP-JU4M3I0E",,"9/18/2020 7:02:56 AM","1d8aa2b7-9377-4511-917c-662ece66cc7b",,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Start",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
