"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"An account was successfully logged on.

Subject:
	Security ID:		S-1-0-0
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

Impersonation Level:		Impersonation

New Logon:
	Security ID:		S-1-5-18
	Account Name:		WIN-77LTAPHIQ1R$
	Account Domain:		EXAMPLE
	Logon ID:		0x16792B
	Logon GUID:		{5fdb15ee-2283-f23c-e23b-5e5ddb11bb9c}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	
	Source Network Address:	::1
	Source Port:		55878

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested.","4624","1",,"0","12544","0","-9214364837600034816","565653","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","696","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:20 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Logon","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-18
	Account Name:		WIN-77LTAPHIQ1R$
	Account Domain:		EXAMPLE
	Logon ID:		0x16792B

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeEnableDelegationPrivilege","4672","0",,"0","12548","0","-9214364837600034816","565652","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","696","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:20 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Special Logon","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		452
	Application Name:	\device\harddiskvolume2\windows\system32\lsass.exe

Network Information:
	Direction:		Inbound
	Source Address:		::1
	Source Port:		389
	Destination Address:	::1
	Destination Port:		55878
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	0
	Layer Name:		Receive/Accept
	Layer Run-Time ID:	46","5156","1",,"0","12810","0","-9214364837600034816","565651","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","2304","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:20 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		1320
	Application Name:	\device\harddiskvolume2\windows\adws\microsoft.activedirectory.webservices.exe

Network Information:
	Direction:		Outbound
	Source Address:		::1
	Source Port:		55878
	Destination Address:	::1
	Destination Port:		389
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	65777
	Layer Name:		Connect
	Layer Run-Time ID:	50","5156","1",,"0","12810","0","-9214364837600034816","565650","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","2304","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:20 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a bind to a local port.

Application Information:
	Process ID:		1320
	Application Name:	\device\harddiskvolume2\windows\adws\microsoft.activedirectory.webservices.exe

Network Information:
	Source Address:		::
	Source Port:		55878
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	0
	Layer Name:		Resource Assignment
	Layer Run-Time ID:	38","5158","0",,"0","12810","0","-9214364837600034816","565649","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","2304","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:20 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A handle to an object was requested.

Subject :
	Security ID:		S-1-5-21-1587066498-1489273250-1035260531-500
	Account Name:		administrator
	Account Domain:		EXAMPLE
	Logon ID:		0x4FD77

Object:
	Object Server:	Security Account Manager
	Object Type:	SAM_USER
	Object Name:	S-1-5-21-1587066498-1489273250-1035260531-500
	Handle ID:	0x14c7b1600

Process Information:
	Process ID:	0x1c4
	Process Name:	C:\Windows\System32\lsass.exe

Access Request Information:
	Transaction ID:	{00000000-0000-0000-0000-000000000000}
	Accesses:	DELETE
				READ_CONTROL
				WRITE_DAC
				WRITE_OWNER
				ReadGeneralInformation
				ReadPreferences
				WritePreferences
				ReadLogon
				ReadAccount
				WriteAccount
				SetPassword (without knowledge of old password)
				ListGroups
				
	Access Mask:	0x2D
	Privileges Used for Access Check:	?-
	Properties:	---
	{bf967aba-0de6-11d0-a285-00aa003049e2}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadGeneralInformation
ReadPreferences
WritePreferences
ReadLogon
ReadAccount
WriteAccount
SetPassword (without knowledge of old password)
ListGroups
		{59ba2f42-79a2-11d0-9020-00c04fc2d3cf}
			{bf967938-0de6-11d0-a285-00aa003049e2}
			{5fd42471-1262-11d0-a060-00aa006c33ed}
			{bf9679e8-0de6-11d0-a285-00aa003049e2}
			{bf967a00-0de6-11d0-a285-00aa003049e2}
			{3e0abfd0-126a-11d0-a060-00aa006c33ed}
			{bf967a6a-0de6-11d0-a285-00aa003049e2}
			{bf967953-0de6-11d0-a285-00aa003049e2}
		{4c164200-20c0-11d0-a768-00aa006e0529}
			{bf967915-0de6-11d0-a285-00aa003049e2}
			{bf967a0a-0de6-11d0-a285-00aa003049e2}
			{bf967a68-0de6-11d0-a285-00aa003049e2}
			{bf967a6d-0de6-11d0-a285-00aa003049e2}
		{5f202010-79a5-11d0-9020-00c04fc2d4cf}
			{bf96792e-0de6-11d0-a285-00aa003049e2}
			{bf967985-0de6-11d0-a285-00aa003049e2}
			{bf967986-0de6-11d0-a285-00aa003049e2}
			{bf967996-0de6-11d0-a285-00aa003049e2}
			{bf967997-0de6-11d0-a285-00aa003049e2}
			{bf9679aa-0de6-11d0-a285-00aa003049e2}
			{bf9679ab-0de6-11d0-a285-00aa003049e2}
			{bf9679ac-0de6-11d0-a285-00aa003049e2}
			{bf967a05-0de6-11d0-a285-00aa003049e2}
			{bf9679a8-0de6-11d0-a285-00aa003049e2}
		{e48d0154-bcf8-11d1-8702-00c04fb96050}
			{bf967950-0de6-11d0-a285-00aa003049e2}
		{bc0ac240-79a9-11d0-9020-00c04fc2d4cf}
			{bf967991-0de6-11d0-a285-00aa003049e2}
		{ab721a53-1e2f-11d0-9819-00aa0040529b}
		{00299570-246d-11d0-a768-00aa006e0529}
		{7ed84960-ad10-11d0-8a92-00aa006e0529}

	Restricted SID Count:	0","4661","0",,"0","12803","0","-9214364837600034816","565648","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","460","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:15 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","SAM","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A handle to an object was requested.

Subject :
	Security ID:		S-1-5-21-1587066498-1489273250-1035260531-500
	Account Name:		administrator
	Account Domain:		EXAMPLE
	Logon ID:		0x4FD77

Object:
	Object Server:	Security Account Manager
	Object Type:	SAM_DOMAIN
	Object Name:	CN=Builtin,DC=example,DC=corp
	Handle ID:	0x14c7b2cd0

Process Information:
	Process ID:	0x1c4
	Process Name:	C:\Windows\System32\lsass.exe

Access Request Information:
	Transaction ID:	{00000000-0000-0000-0000-000000000000}
	Accesses:	DELETE
				READ_CONTROL
				WRITE_DAC
				WRITE_OWNER
				ReadPasswordParameters
				WritePasswordParameters
				ReadOtherParameters
				WriteOtherParameters
				CreateUser
				CreateGlobalGroup
				CreateLocalGroup
				GetLocalGroupMembership
				ListAccounts
				
	Access Mask:	0x2D
	Privileges Used for Access Check:	?-
	Properties:	---
	{19195a5a-6da0-11d0-afd3-00c04fd930c9}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadPasswordParameters
WritePasswordParameters
ReadOtherParameters
WriteOtherParameters
CreateUser
CreateGlobalGroup
CreateLocalGroup
GetLocalGroupMembership
ListAccounts
		{c7407360-20bf-11d0-a768-00aa006e0529}
			{bf9679a4-0de6-11d0-a285-00aa003049e2}
			{bf9679a5-0de6-11d0-a285-00aa003049e2}
			{bf9679a6-0de6-11d0-a285-00aa003049e2}
			{bf9679bb-0de6-11d0-a285-00aa003049e2}
			{bf9679c2-0de6-11d0-a285-00aa003049e2}
			{bf9679c3-0de6-11d0-a285-00aa003049e2}
			{bf967a09-0de6-11d0-a285-00aa003049e2}
			{bf967a0b-0de6-11d0-a285-00aa003049e2}
		{b8119fd0-04f6-4762-ab7a-4986c76b3f9a}
			{bf967a34-0de6-11d0-a285-00aa003049e2}
			{bf967a33-0de6-11d0-a285-00aa003049e2}
			{bf9679c5-0de6-11d0-a285-00aa003049e2}
			{bf967a61-0de6-11d0-a285-00aa003049e2}
			{bf967977-0de6-11d0-a285-00aa003049e2}
			{bf96795e-0de6-11d0-a285-00aa003049e2}
			{bf9679ea-0de6-11d0-a285-00aa003049e2}
		{ab721a52-1e2f-11d0-9819-00aa0040529b}

	Restricted SID Count:	0","4661","0",,"0","12803","0","-9214364837600034816","565647","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","460","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:15 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","SAM","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"A handle to an object was requested.

Subject :
	Security ID:		S-1-5-21-1587066498-1489273250-1035260531-500
	Account Name:		administrator
	Account Domain:		EXAMPLE
	Logon ID:		0x4FD77

Object:
	Object Server:	Security Account Manager
	Object Type:	SAM_DOMAIN
	Object Name:	DC=example,DC=corp
	Handle ID:	0x14c7b2840

Process Information:
	Process ID:	0x1c4
	Process Name:	C:\Windows\System32\lsass.exe

Access Request Information:
	Transaction ID:	{00000000-0000-0000-0000-000000000000}
	Accesses:	DELETE
				READ_CONTROL
				WRITE_DAC
				WRITE_OWNER
				ReadPasswordParameters
				WritePasswordParameters
				ReadOtherParameters
				WriteOtherParameters
				CreateUser
				CreateGlobalGroup
				CreateLocalGroup
				GetLocalGroupMembership
				ListAccounts
				
	Access Mask:	0x2D
	Privileges Used for Access Check:	?-
	Properties:	---
	{19195a5a-6da0-11d0-afd3-00c04fd930c9}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadPasswordParameters
WritePasswordParameters
ReadOtherParameters
WriteOtherParameters
CreateUser
CreateGlobalGroup
CreateLocalGroup
GetLocalGroupMembership
ListAccounts
		{c7407360-20bf-11d0-a768-00aa006e0529}
			{bf9679a4-0de6-11d0-a285-00aa003049e2}
			{bf9679a5-0de6-11d0-a285-00aa003049e2}
			{bf9679a6-0de6-11d0-a285-00aa003049e2}
			{bf9679bb-0de6-11d0-a285-00aa003049e2}
			{bf9679c2-0de6-11d0-a285-00aa003049e2}
			{bf9679c3-0de6-11d0-a285-00aa003049e2}
			{bf967a09-0de6-11d0-a285-00aa003049e2}
			{bf967a0b-0de6-11d0-a285-00aa003049e2}
		{b8119fd0-04f6-4762-ab7a-4986c76b3f9a}
			{bf967a34-0de6-11d0-a285-00aa003049e2}
			{bf967a33-0de6-11d0-a285-00aa003049e2}
			{bf9679c5-0de6-11d0-a285-00aa003049e2}
			{bf967a61-0de6-11d0-a285-00aa003049e2}
			{bf967977-0de6-11d0-a285-00aa003049e2}
			{bf96795e-0de6-11d0-a285-00aa003049e2}
			{bf9679ea-0de6-11d0-a285-00aa003049e2}
		{ab721a52-1e2f-11d0-9819-00aa0040529b}

	Restricted SID Count:	0","4661","0",,"0","12803","0","-9214364837600034816","565646","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","460","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:15 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","SAM","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The computer attempted to validate the credentials for an account.

Authentication Package:	MICROSOFT_AUTHENTICATION_PACKAGE_V1_0
Logon Account:	Administrator
Source Workstation:	WIN-77LTAPHIQ1R
Error Code:	0x0","4776","0",,"0","14336","0","-9214364837600034816","565645","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","452","1208","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:15 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Credential Validation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The Windows Filtering Platform has permitted a connection.

Application Information:
	Process ID:		452
	Application Name:	\device\harddiskvolume2\windows\system32\lsass.exe

Network Information:
	Direction:		Inbound
	Source Address:		10.0.2.15
	Source Port:		49158
	Destination Address:	10.0.2.17
	Destination Port:		49224
	Protocol:		6

Filter Information:
	Filter Run-Time ID:	0
	Layer Name:		Receive/Accept
	Layer Run-Time ID:	44","5156","1",,"0","12810","0","-9214364837600034816","565644","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4","3080","WIN-77LTAPHIQ1R.example.corp",,"3/18/2019 4:24:15 PM",,,"System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Information","Info","Filtering Platform Connection","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
